date,averageprice,totalvolume,totalbags,smallbags,largebags,xlargebags,type,region,price_category,year
2015-01-11,1.69,58061.65,9146.94,7266.75,1880.19,0.0,organic,GreatLakes,High price,2015
2015-01-11,1.65,3882.88,3504.58,3504.58,0.0,0.0,organic,HarrisburgScranton,High price,2015
2015-01-11,2.28,3463.61,193.33,193.33,0.0,0.0,organic,HartfordSpringfield,High price,2015
2015-01-11,1.26,7561.0,600.0,600.0,0.0,0.0,organic,Houston,High price,2015
2015-01-11,1.83,1410.31,393.06,357.75,35.31,0.0,organic,Indianapolis,High price,2015
2015-01-11,1.91,1248.89,240.0,240.0,0.0,0.0,organic,Jacksonville,High price,2015
2015-01-11,1.54,6144.55,33.33,33.33,0.0,0.0,organic,LasVegas,High price,2015
2015-01-11,1.08,60232.63,6081.88,6081.88,0.0,0.0,organic,LosAngeles,High price,2015
2015-01-11,1.79,1435.48,216.46,173.93,42.53,0.0,organic,Louisville,High price,2015
2015-01-11,1.85,1614.56,473.33,473.33,0.0,0.0,organic,Miami,High price,2015
2015-01-11,1.52,65483.08,17296.48,16715.45,581.03,0.0,organic,Midsouth,High price,2015
2015-01-11,1.92,2892.29,438.65,435.54,3.11,0.0,organic,Nashville,High price,2015
2015-01-11,1.44,1492.44,1243.33,1243.33,0.0,0.0,organic,NewOrleans,High price,2015
2015-01-11,2.03,14817.97,2111.17,2111.17,0.0,0.0,organic,NewYork,High price,2015
2015-01-11,1.86,50079.81,26358.42,26332.17,26.25,0.0,organic,Northeast,High price,2015
2015-01-11,1.88,6485.3,5894.15,5894.15,0.0,0.0,organic,NorthernNewEngland,High price,2015
2015-01-11,1.92,1610.6,266.67,266.67,0.0,0.0,organic,Orlando,High price,2015
2015-01-11,1.63,6715.18,4472.33,4465.66,6.67,0.0,organic,Philadelphia,High price,2015
2015-01-11,1.36,14035.18,879.26,876.68,2.58,0.0,organic,PhoenixTucson,High price,2015
2015-01-11,1.82,1663.25,567.68,564.2,3.48,0.0,organic,Pittsburgh,High price,2015
2015-01-11,1.68,37617.95,15692.82,13774.1,1918.72,0.0,organic,Plains,High price,2015
2015-01-11,1.22,43116.44,4477.36,480.0,3997.36,0.0,organic,Portland,High price,2015
2015-01-11,1.98,3862.72,1200.59,1195.75,4.84,0.0,organic,RaleighGreensboro,High price,2015
2015-01-11,1.66,2914.35,439.21,412.81,26.4,0.0,organic,RichmondNorfolk,High price,2015
2015-01-11,1.47,5128.06,979.65,806.48,173.17,0.0,organic,Roanoke,High price,2015
2015-01-11,1.27,7598.26,321.28,321.28,0.0,0.0,organic,Sacramento,High price,2015
2015-01-11,1.05,20089.52,1025.96,1025.96,0.0,0.0,organic,SanDiego,High price,2015
2015-01-11,1.12,29676.78,182.83,182.83,0.0,0.0,organic,SanFrancisco,High price,2015
2015-01-11,1.46,46687.01,4620.02,223.33,4396.69,0.0,organic,Seattle,High price,2015
2015-01-11,2.06,2304.3,677.93,674.61,3.32,0.0,organic,SouthCarolina,High price,2015
2015-01-11,1.39,53328.53,16963.95,16873.34,90.61,0.0,organic,SouthCentral,High price,2015
2015-01-11,1.83,23690.65,8321.58,8164.48,157.1,0.0,organic,Southeast,High price,2015
2015-01-11,1.38,4780.87,427.05,140.0,287.05,0.0,organic,Spokane,High price,2015
2015-01-11,1.84,3762.18,263.33,263.33,0.0,0.0,organic,StLouis,High price,2015
2015-01-11,1.66,762.15,565.4,565.4,0.0,0.0,organic,Syracuse,High price,2015
2015-01-11,1.84,1258.62,400.0,400.0,0.0,0.0,organic,Tampa,High price,2015
2015-01-11,1.42,669528.88,133760.12,106844.49,26915.63,0.0,organic,TotalUS,High price,2015
2015-01-11,1.39,223156.55,31558.5,9296.76,22261.74,0.0,organic,West,High price,2015
2015-01-11,1.69,6861.73,2661.91,2656.66,5.25,0.0,organic,WestTexNewMexico,High price,2015
2015-01-18,1.93,1118.47,931.67,931.67,0.0,0.0,organic,Albany,High price,2015
2015-01-18,1.86,4294.01,1166.1,1019.34,146.76,0.0,organic,Atlanta,High price,2015
2015-01-18,1.41,14057.45,523.57,461.75,61.82,0.0,organic,BaltimoreWashington,High price,2015
2015-01-18,1.44,2973.94,451.75,143.33,308.42,0.0,organic,Boise,High price,2015
2015-01-18,2.0,2209.34,1370.78,1370.78,0.0,0.0,organic,Boston,High price,2015
2015-01-18,1.64,1426.87,1197.53,1197.53,0.0,0.0,organic,BuffaloRochester,High price,2015
2015-01-18,1.24,195207.6,13453.15,13453.15,0.0,0.0,organic,California,High price,2015
2015-01-18,2.15,2697.81,840.32,840.32,0.0,0.0,organic,Charlotte,High price,2015
2015-01-18,1.81,12499.87,514.45,514.45,0.0,0.0,organic,Chicago,High price,2015
2015-01-18,1.37,10051.4,395.09,351.87,43.22,0.0,organic,CincinnatiDayton,High price,2015
2015-01-18,1.84,4027.45,788.48,213.33,575.15,0.0,organic,Columbus,High price,2015
2015-01-18,1.28,12634.71,4206.67,4206.67,0.0,0.0,organic,DallasFtWorth,High price,2015
2015-01-18,1.1,42234.91,4178.82,992.64,3186.18,0.0,organic,Denver,High price,2015
2015-01-18,1.9,7656.72,850.45,446.67,403.78,0.0,organic,Detroit,High price,2015
2015-01-18,1.88,706.15,196.67,196.67,0.0,0.0,organic,GrandRapids,High price,2015
2015-01-18,1.73,57646.9,10052.16,6511.7,3540.46,0.0,organic,GreatLakes,High price,2015
2015-01-18,1.94,1355.5,1168.46,1168.46,0.0,0.0,organic,HarrisburgScranton,High price,2015
2015-01-18,2.35,2552.09,266.67,266.67,0.0,0.0,organic,HartfordSpringfield,High price,2015
2015-01-18,1.2,9979.64,750.0,750.0,0.0,0.0,organic,Houston,High price,2015
2015-01-18,1.96,1083.8,112.58,105.03,7.55,0.0,organic,Indianapolis,High price,2015
